#BOF|2022.03.14|03:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
ONGC|INR|OIL &amp; NATURAL GAS CORP LTD|83845926|INE213A01029|NA|NA|4200000|
ORISSAMIN|INR|ORISSA MINERALS DEVELOPMENT|115678573|INE725E01024|NA|NA|25000|
PAGEIND|INR|PAGE INDUSTRIES LTD|56986688|INE761H01022|NA|NA|5000|
PAISALO|INR|PAISALO DIGITAL LIMITED|95983176|INE420C01042|NA|NA|100000|
PARSVNATH|INR|PARSVNATH DEVELOPERS LTD|79938318|INE561H01026|NA|NA|500000|
PEL|INR|PIRAMAL ENTERPRISES LTD|56986920|INE140A01024|NA|NA|150000|
PENINLAND|INR|PENINSULA LAND LIMITED|56986722|INE138A01028|NA|NA|650000|
PERSISTEN|INR|PERSISTENT SYSTEMS LTD|74018573|INE262H01013|NA|NA|100000|
PETRONET|INR|PETRONET LNG LTD|56986960|INE347G01014|NA|NA|1300000|
PFC|INR|POWER FINANCE CORPORATION|56986985|INE134E01011|NA|NA|2400000|
PFIZER|INR|PFIZER LIMITED|56986739|INE182A01018|NA|NA|10000|
PFOCUS|INR|PRIME FOCUS LTD|80443088|INE367G01038|NA|NA|700000|
PGEL|INR|PG ELECTROPLAST LTD|95168535|INE457L01011|NA|NA|80000|
PGHH|INR|PROCTER &amp; GAMBLE HYGIENE|56986742|INE179A01014|NA|NA|4000|
PHOENIXLT|INR|PHOENIX MILLS LIMITED|56986758|INE211B01039|NA|NA|100000|
PIDILITIN|INR|PIDILITE INDUSTRIES LTD|56986764|INE318A01026|NA|NA|300000|
POWERGRID|INR|POWER GRID CORP. OF INDIA LTD.|50486118|INE752E01010|NA|NA|3700000|
PRAJIND|INR|PRAJ INDUSTRIES LIMITED|56987021|INE074A01025|NA|NA|850000|
PRESTIGE|INR|PRESTIGE ESTATES PROJECTS|80409127|INE811K01011|NA|NA|350000|
PRSMJOHNS|INR|PRISM JOHNSON LIMITED|56987036|INE010A01011|NA|NA|250000|
PSB|INR|PUNJAB &amp; SIND BANK|82450884|INE608A01012|NA|NA|400000|
PTC|INR|PTC INDIA LTD|56987070|INE877F01012|NA|NA|1200000|
PUNJLLOYD|INR|PUNJ LLOYD LIMITED|56987096|INE701B01021|NA|NA|1600000|
PURVA|INR|PURAVANKARA LTD|56987101|INE323I01011|NA|NA|550000|
PVR|INR|PVR LTD|56987108|INE191H01014|NA|NA|100000|
RADICO|INR|RADICO KHAITAN LTD|56984785|INE944F01028|NA|NA|300000|
RAJESHEXP|INR|RAJESH EXPORTS LIMITED|56984828|INE343B01030|NA|NA|200000|
RALLIS|INR|RALLIS INDIA LTD|90857628|INE613A01020|NA|NA|450000|
RAMCOCEM|INR|RAMCO CEMENTS LTD-THE|56987148|INE331A01037|NA|NA|350000|
RAYMOND|INR|RAYMOND LIMITED|56984932|INE301A01014|NA|NA|300000|
RCF|INR|RASHTRIYA CHEMICALS &amp; FERT|56984768|INE027A01015|NA|NA|550000|
RCOM|INR|RELIANCE COMMUNICATIONS LTD|44652020|INE330H01018|NA|NA|>10000000|
RECLTD|INR|REC LTD|56984788|INE020B01018|NA|NA|1700000|
REDINGTON|INR|REDINGTON INDIA LTD|78015307|INE891D01026|NA|NA|350000|
RELCAPITA|INR|RELIANCE CAPITAL LIMITED|56984773|INE013A01015|NA|NA|1200000|
RELIANCE|INR|RELIANCE INDUSTRIES LIMITED|44652000|INE002A01018|NA|NA|3200000|
RELIGARE|INR|RELIGARE ENTERPRISES LIMITED|56984807|INE621H01010|NA|NA|30000|
RELINFRA|INR|RELIANCE INFRASTRUCTURE LTD|44652170|INE036A01016|NA|NA|1300000|
RENUKA|INR|SHREE RENUKA SUGARS LTD|56988994|INE087H01022|NA|NA|3300000|
